acceX,acceY,acceZ,magX,magY,magZ,orieX,orieY,orieZ,gyroX,gyroY,gyroZ,step,posX,posY
-0.4315033,-0.47218323,9.979675,0.47454834,10.189819,-26.831055,9.440277,2.7644515,-2.584375,-0.036026,0.013717651,-0.007278442,0,2,0
-0.50727844,-0.44425964,10.072189,-0.29907227,11.209106,-29.237366,10.001251,2.7080684,-2.6034024,0.013244629,-0.03353882,0.01348877,0,2,0
-0.46420288,-0.5048828,10.0195465,-0.5554199,10.606384,-26.213074,9.440277,2.7644515,-2.584375,-0.018310547,0.004348755,-0.006057739,0,2,0
-0.41316223,-0.43469238,9.880768,0.48217773,12.42218,-28.742981,10.042297,2.6373923,-2.5317948,-0.012405396,0.006576538,0.009628296,0,2,0
-0.46499634,-0.43469238,9.934998,-0.5554199,10.606384,-26.213074,9.551331,2.8827562,-2.623626,-0.020355225,0.010864258,-0.019897461,0,2,0
-0.5024872,-0.47297668,10.082565,-0.60272217,9.899902,-26.124573,9.551331,2.8827562,-2.623626,-0.006103516,0.002502441,-0.001159668,0,2,0
-0.49212646,-0.5016937,10.031509,0.17852783,9.802246,-24.978638,9.369202,2.9198923,-2.8005154,-0.09100342,-0.017456055,0.025299072,0,2,0
-0.47457886,-0.50009155,9.929413,0.06561279,10.845947,-26.878357,9.667053,2.863841,-2.6773262,0.011001587,0.006790161,-0.014389038,0,2,0
-0.48654175,-0.5232239,9.946167,0.06561279,10.845947,-26.878357,9.535706,2.822911,-2.6753857,-0.002029419,0.017578125,6.10E-05,0,2,0
-0.5208435,-0.5056915,9.768311,0.43945312,11.187744,-26.864624,9.588501,2.84436,-2.749354,-0.021575928,0.014923096,0.002502441,0,2,0
-0.80558777,-0.39959717,9.903885,0.9674072,13.580322,-31.76117,5.2281494,2.3608923,-4.000232,-0.04927063,-0.065704346,0.007995606,1,2,1
-0.673172,-0.39242554,9.989243,2.0263672,14.344788,-32.156372,4.996399,2.6663303,-3.7503881,-0.04397583,-0.018676758,0.018173218,1,2,1
-0.5296173,-0.4857483,9.920639,1.7089844,13.415527,-30.72815,4.996399,2.6663303,-3.7503881,-0.016479492,-0.036376953,0.015533447,1,2,1
-0.5591278,-0.5032959,9.959732,1.7623901,11.470032,-27.912903,4.7999573,2.6905165,-3.6363876,-0.032165527,-0.007064819,-0.026809692,1,2,1
-0.6596222,-0.46022034,10.017151,2.3132324,12.312317,-29.452515,4.678009,2.8079138,-3.593348,-0.041931152,-0.00970459,-0.02885437,1,2,1
-0.65722656,-0.47218323,10.062622,1.4694214,12.3550415,-28.305054,4.4914246,2.9553394,-3.555754,0.004684448,-0.020095825,-0.032104492,1,2,1
