accelerator_x,accelerator_y,accelerator_z,magnetic_x,magnetic_y,magnetic_z,orientation_x,orientation_y,orientation_z,gyroscope_x,gyroscope_y,gyroscope_z,step,posX,posY
-0.003982544,-0.29830933,9.861618,-4.220581,12.564087,-25.8255,30.11734,2.2312548,-0.44083923,-0.036849976,0.023071289,-0.006454468,0,3,0
-0.20259094,-0.38285828,10.053848,-4.283142,12.585449,-25.222778,30.11734,2.2312548,-0.44083923,-0.02116394,0.04119873,-0.021316528,0,3,0
-0.17547607,-0.41555786,9.95015,-5.8181763,11.500549,-24.339294,30.672363,2.3941371,-0.31024295,0.085113525,0.010650635,0.042617798,0,3,0
-0.1395874,-0.42512512,9.972488,-5.2856445,11.114502,-23.220825,29.669617,2.3170867,-0.6046365,-0.005691528,0.004745483,0.01675415,0,3,0
-0.11885071,-0.3692932,10.021942,-4.449463,10.713196,-22.805786,29.669617,2.3170867,-0.6046365,0.012832642,-0.015197754,0.00982666,0,3,0
-0.11804199,-0.3812561,9.956543,-3.540039,11.038208,-24.067688,29.481384,2.2740128,-0.55971205,-0.0052948,0.004943848,0.00453186,0,3,0
-0.15473938,-0.39163208,10.038696,-5.3741455,11.49292,-24.07837,29.011719,2.2942414,-0.6280911,-0.008132935,0.011062622,0.012069702,0,3,0
-0.22174072,-0.39242554,9.746765,-5.3741455,11.49292,-24.07837,29.011719,2.2942414,-0.6280911,0.014862061,0.060531616,0.01939392,0,3,0
-0.095718384,-0.42752075,10.112061,-4.873657,10.618591,-23.626709,28.97052,2.2444746,-0.84572184,-0.05293274,-0.053085327,0.021850586,0,3,0
-0.24804688,-0.5407715,10.211777,-5.012512,14.302063,-31.800842,29.458832,3.2993324,-0.7429911,-0.06820679,0.0438385,-0.013977051,1,3,1
-0.19302368,-0.43548584,9.913467,-5.630493,14.7872925,-30.525208,29.608704,2.891853,-0.53315586,-0.12174988,0.0650177,-0.037399292,1,3,1
-0.21774292,-0.5391846,10.004395,-5.012512,14.302063,-31.800842,29.24768,3.5204835,-0.895728,-0.00466919,-0.004013062,0.009414673,1,3,1
-0.05343628,-0.04866028,10.026733,-6.3323975,13.006592,-33.88977,30.719269,0.42535624,-0.3406999,0.007949829,-0.006652832,0.04423523,1,3,1
-0.04547119,-0.055038452,9.8983,-6.526184,11.680603,-34.768677,31.051666,0.45353618,-0.36091,-0.05781555,0.005569458,0.1116333,1,3,1
0.07019043,-0.12124634,10.010773,-5.619812,11.088562,-32.608032,30.719269,0.42535624,-0.3406999,-0.032974243,-0.027420044,0.04220581,1,3,1
-0.008773804,-0.15634155,9.970093,-5.619812,11.088562,-32.608032,30.308594,0.4397012,-0.33734858,0.031967163,0.030395508,-0.002792358,1,3,1
-0.06300354,-0.086135864,9.931808,-6.2164307,9.869385,-30.404663,30.308594,0.4397012,-0.33734858,-0.011398315,-0.004211426,-0.009307861,1,3,1
-0.08773804,-0.071777344,9.810577,-5.6915283,9.440613,-31.517029,30.43277,0.52250904,-0.35313284,-0.042755127,0.004943848,0.001068115,1,3,1
