acceX,acceY,acceZ,magX,magY,magZ,orieX,orieY,orieZ,gyroX,gyroY,gyroZ,step,posX,posY
-0.01675415,0.035888672,9.819351,-9.579468,8.143616,-28.659058,53.50836,0.016740857,-0.68871063,-0.030395508,0.01121521,0.00378418,0,4,0
-0.19781494,0.00239563,9.95813,-10.003662,8.677673,-27.55127,53.79785,0.2548211,-0.7016588,0.07040405,-0.006088257,0.041046143,0,4,0
-0.08932495,-0.019134521,9.995621,-8.277893,6.526184,-26.641846,53.29492,0.3094063,-0.7739113,-0.025100708,0.009399414,-0.009460449,0,4,0
-0.13240051,-0.035888672,10.061813,-9.239197,7.4279785,-27.209473,53.344604,0.1144148,-0.7247471,-0.058288574,0.016113281,-0.002731323,0,4,0
-0.15713501,-0.00239563,9.962128,-8.277893,6.526184,-26.641846,53.330475,0.39421484,-0.80343145,-0.038742065,0.011428833,-0.045684814,0,4,0
-0.1531372,-0.14596558,9.871994,-7.192993,4.434204,-24.549866,54.7218,0.64507395,-1.0015131,-0.027542114,0.003082275,0.000732422,0,4,0
-0.26081848,-0.06858826,10.102493,-8.601379,4.942322,-24.179077,53.870117,0.59388137,-0.89650714,-0.02305603,0.016113281,-0.023910522,0,4,0
-0.15473938,-0.054229736,9.981262,-7.08313,3.9764404,-23.29712,53.870117,0.59388137,-0.89650714,-0.004943848,0.018966675,-0.019424438,0,4,0
-0.18504333,-0.124435425,9.93898,-7.08313,3.9764404,-23.29712,54.495697,0.5336935,-1.0112622,0.009918213,0.003692627,0.003372192,0,4,0
-0.23847961,-0.14755249,10.080963,-6.982422,4.005432,-23.692322,54.7218,0.64507395,-1.0015131,-0.05014038,0.030975342,0.018234253,0,4,0
-0.08932495,-0.15234375,10.242874,-7.3623657,3.5690308,-22.52655,55.08069,0.990304,-1.2320921,0.012573242,0.042785645,-0.017593384,0,4,0
-0.17626953,-0.12760925,9.836899,-6.7337036,3.7017822,-23.155212,54.930237,0.82108766,-1.0976102,-0.05807495,0.03504944,0.03656006,0,4,0
-0.003189087,-0.15075684,9.933411,-9.8526,11.09314,-32.66449,43.263855,0.86038244,-1.0988059,0.010131836,0.035247803,0.0664978,1,4,1
-0.12841797,-0.09651184,9.959732,-9.8526,11.09314,-32.66449,43.08914,0.8214618,-1.2139468,-0.049926758,0.053359985,0.015579224,1,4,1
-0.01675415,-0.14356995,10.104889,-8.198547,10.13031,-29.222107,43.138306,1.1568335,-1.546958,-0.006774902,0.018966675,-0.000701904,1,4,1
-0.15553284,-0.09013367,10.092133,-8.132935,9.518433,-29.57306,42.99646,0.9865042,-1.37666,-0.052581787,0.053970337,-0.009246826,1,4,1
-0.066207886,-0.18345642,9.8576355,-8.198547,10.13031,-29.222107,43.116882,1.1727799,-1.5991029,0.024368286,0.0181427,-0.03489685,1,4,1
-0.2919159,-0.2281189,9.872787,-8.692932,9.042358,-29.048157,42.993805,1.1223747,-1.514356,-0.059921265,0.046447754,-0.026550293,1,4,1
-0.2839508,-0.23291016,9.848053,-8.842468,11.14502,-29.64325,42.993805,1.1223747,-1.514356,-0.017974854,0.014877319,-0.044265747,1,4,1
-0.34776306,-0.16111755,10.043472,-8.06427,9.428406,-29.693604,43.29898,1.3332951,-1.6705654,-0.06846619,0.04664612,-0.013519287,1,4,1
-0.23449707,-0.21774292,10.081757,-7.6019287,10.307312,-30.386353,43.2843,1.7507952,-1.7998842,-0.05970764,-0.010772705,0.023330688,1,4,1
-0.28953552,-0.029510498,9.981262,-9.0286255,11.270142,-33.433533,40.386353,0.36783484,-2.3787978,0.014404297,-0.012802124,0.06730652,2,4,2
-0.40837097,0.007171631,10.033112,-7.53479,12.57019,-34.083557,39.9469,0.1842355,-2.3253796,-0.031204224,0.044815063,-0.005783081,2,4,2
-0.28234863,0.024719238,9.837692,-9.0286255,11.270142,-33.433533,40.25406,0.28970972,-2.3409078,0.030273438,0.0234375,0.04612732,2,4,2
-0.38923645,0.017547607,9.911865,-8.293152,12.0224,-34.736633,39.578857,0.2831284,-2.4674158,0.019088745,0.015090942,0.017211914,2,4,2
-0.4650116,-0.018341064,10.0889435,-8.293152,12.0224,-34.736633,39.392395,0.19292603,-2.564056,-0.013076782,0.020385742,-0.002532959,2,4,2
-0.49371338,0.044662476,9.887146,-8.084106,12.384033,-33.50525,39.392395,0.19292603,-2.564056,0.038635254,0.014282227,-0.004165649,2,4,2
-0.4283142,0.025527954,9.918243,-7.2753906,12.716675,-33.74939,39.347748,0.06392033,-2.6111808,-0.013687134,0.001861572,-0.003967285,2,4,2
-0.42752075,-0.017547607,10.043472,-7.003784,12.391663,-32.637024,38.910797,0.15758818,-2.6552353,-0.020004272,0.014480591,0.005813599,2,4,2
-0.5096741,-0.009567261,9.942978,-7.255554,11.839294,-34.78241,38.910797,0.15758818,-2.6552353,-0.023666382,0.001861572,-0.008834839,2,4,2
-0.5080719,0.07098389,9.839294,-6.918335,10.812378,-34.249878,38.818268,0.21498117,-2.654094,-0.028961182,-0.004455566,-0.011474609,2,4,2
-0.6029968,-0.08454895,10.014755,-6.826782,11.669922,-32.737732,38.851288,0.2757252,-2.6756885,-0.08149719,0.03768921,0.025161743,2,4,2
-0.44506836,-0.028717041,9.764313,-8.265686,17.106628,-41.362,34.22937,0.2680206,-2.7813625,-0.012466431,0.011825562,0.013153076,3,4,3
-0.5918274,-0.11326599,10.166306,-8.265686,17.106628,-41.362,34.22937,0.2680206,-2.7813625,-0.00982666,0.014266968,-0.002944946,3,4,3
-0.59262085,-0.090927124,10.008377,-6.578064,15.365601,-39.58893,34.296326,0.3480535,-2.8560417,-0.032424927,0.031173706,-0.000289917,3,4,3
-0.36610413,-0.066207886,10.092133,-6.7581177,14.622498,-38.902283,34.0755,0.4311233,-2.971109,-0.035888672,0.002670288,0.022506714,3,4,3
