accelerator_x,accelerator_y,accelerator_z,magnetic_x,magnetic_y,magnetic_z,orientation_x,orientation_y,orientation_z,gyroscope_x,gyroscope_y,gyroscope_z,step,posX,posY
-0.23449707,-0.24327087,9.785049,-9.6206665,9.153748,-31.24237,55.20984,2.0724382,-0.73630124,0.041275024,-0.03439331,0.036361694,0,5,0
-0.10447693,-0.37886047,9.860825,-10.455322,7.4264526,-27.964783,55.299927,2.3528924,-0.7436695,-0.037719727,0.016723633,-0.002532959,0,5,0
-0.04386902,-0.23210144,9.9366,-13.264465,8.999634,-30.340576,55.08139,1.9210167,-0.6349782,-0.07029724,-0.002212524,0.033920288,0,5,0
-0.001602173,-0.31027222,10.052246,-9.689331,7.897949,-28.579712,55.16693,2.1473737,-0.62518376,-0.025299072,0.021408081,0.014984131,0,5,0
-0.1603241,-0.3517456,10.050644,-11.288452,8.320618,-28.842163,55.299927,2.3528924,-0.7436695,-0.047286987,0.013473511,-0.036727905,0,5,0
-0.2073822,-0.38204956,10.009979,-9.576416,7.2052,-28.808594,55.865906,2.615637,-1.0327518,-0.052581787,0.015899658,-0.02003479,0,5,0
-0.22732544,-0.42033386,10.069794,-9.576416,7.2052,-28.808594,55.865906,2.615637,-1.0327518,0.004638672,0.029953003,-0.003341675,0,5,0
-0.2073822,-0.27757263,9.954941,-10.316467,6.8237305,-27.80304,55.563385,2.5083075,-0.78666055,-0.026107788,0.04359436,-0.018814087,0,5,0
-0.1986084,-0.45463562,10.045074,-10.322571,9.214783,-27.912903,55.85916,2.5765052,-1.1525437,0.026824951,-0.004455566,0.006225586,0,5,0
-0.13479614,-0.40997314,9.809769,-10.768127,7.058716,-28.520203,55.974487,2.495992,-1.1374605,0.028045654,0.007965088,-0.021057129,0,5,0
-0.30628967,-0.39640808,9.841675,-11.143494,8.581543,-27.651978,56.478333,2.4698095,-1.2698277,-0.016540527,0.043182373,0.005203247,0,5,0
-0.3461609,-0.4019928,9.9756775,-10.768127,7.058716,-28.520203,56.28827,2.4002757,-1.1207057,-0.025497437,0.018753052,-0.03265381,0,5,0
-0.33261108,-0.4139557,9.875183,-9.422302,8.311462,-27.308655,56.53601,2.5021555,-1.4585063,-0.10470581,-0.03378296,0.002563477,0,5,0
-0.22174072,-0.01914978,9.848862,-10.491943,9.65271,-31.636047,49.835663,0.23103848,-1.9333495,-0.027542114,-0.031936646,0.001342773,1,5,1
-0.34695435,-0.059814453,9.99881,-10.021973,9.980774,-31.37207,49.790314,0.69587874,-1.9759603,-0.12590027,0.06150818,-0.054244995,1,5,1
-0.4873352,-0.1060791,10.106491,-8.737183,9.048462,-28.863525,49.790314,0.69587874,-1.9759603,-0.07029724,0.023635864,-0.034072876,1,5,1
