X,Y,fingerMag
0.0,0.0,50.065165
0.0,0.1,52.178188
0.0,0.2,54.125831
0.0,0.3,55.913964
0.0,0.4,57.548459
0.0,0.5,59.035186
0.0,0.6,60.380016
0.0,0.7,61.588819
0.0,0.8,62.667466
0.0,0.9,63.621828
0.0,1.0,64.457776
0.0,1.1,65.181180
0.0,1.2,65.797911
0.0,1.3,66.313839
0.0,1.4,66.734893
0.0,1.5,67.071397
0.0,1.6,67.341092
0.0,1.7,67.562438
0.0,1.8,67.753892
0.0,1.9,67.933298
0.0,2.0,68.100307
0.0,2.1,68.233788
0.0,2.2,68.311473
0.0,2.3,68.311094
0.0,2.4,68.210383
0.0,2.5,67.987071
0.0,2.6,67.618892
0.0,2.7,67.083578
0.0,2.8,66.366015
0.0,2.9,65.489243
0.0,3.0,64.488968
0.0,3.1,63.400904
0.0,3.2,62.260764
0.0,3.3,61.104262
0.0,3.4,59.967112
0.0,3.5,58.885027
0.0,3.6,57.893722
0.0,3.7,57.028910
0.0,3.8,56.325741
0.0,3.9,55.795042
0.0,4.1,55.414585
0.0,4.2,55.159779
0.0,4.3,55.006034
0.0,4.4,54.928757
0.0,4.5,54.903359
0.0,4.6,54.905877
0.0,4.7,54.926769
0.0,4.8,54.970891
0.0,4.9,55.043726
0.0,5.0,55.150754
0.0,5.1,55.297458
0.0,5.2,55.489319
0.0,5.3,55.731818
0.0,5.4,56.030438
0.0,5.5,56.390169
0.0,5.6,56.809585
0.0,5.7,57.282762
0.0,5.8,57.803682
0.0,5.9,58.366327
0.0,6.0,58.964678
0.0,6.1,59.592716
0.0,6.2,60.244425
0.0,6.3,60.913785
0.0,6.4,61.594781
0.0,6.5,62.282442
0.0,6.6,62.974393
0.0,6.7,63.668657
0.0,6.8,64.363258
0.0,6.9,65.056219
0.0,7.0,65.745562
0.0,7.1,66.429311
0.0,7.2,67.105490
0.0,7.3,67.772120
0.0,7.4,68.427226
0.0,7.5,69.068831
0.0,7.6,69.694958
0.0,7.7,70.303629
0.0,7.8,70.892868
0.0,7.9,71.460699
0.0,8.0,72.005143
0.1,0.0,52.536939
0.1,0.1,54.462424
0.1,0.2,56.172347
0.1,0.3,57.684259
0.1,0.4,59.015705
0.1,0.5,60.184235
0.1,0.6,61.207397
0.1,0.7,62.102737
0.1,0.8,62.887804
0.1,0.9,63.580147
0.1,1.0,64.197312
0.1,1.1,64.756849
0.1,1.2,65.276304
0.1,1.3,65.773225
0.1,1.4,66.264994
0.1,1.5,66.756220
0.1,1.6,67.229953
0.1,1.7,67.667165
0.1,1.8,68.048829
0.1,1.9,68.356090
0.1,2.0,68.575212
0.1,2.1,68.698307
0.1,2.2,68.717807
0.1,2.3,68.626143
0.1,2.4,68.415747
0.1,2.5,68.079050
0.1,2.6,67.608485
0.1,2.7,66.996482
0.1,2.8,66.239852
0.1,2.9,65.358755
0.1,3.0,64.381102
0.1,3.1,63.334809
0.1,3.2,62.247791
0.1,3.3,61.147965
0.1,3.4,60.063247
0.1,3.5,59.021553
0.1,3.6,58.050799
0.1,3.7,57.178901
0.1,3.8,56.433394
0.1,3.9,55.825381
0.1,4.1,55.343631
0.1,4.2,54.975317
0.1,4.3,54.707613
0.1,4.4,54.527692
0.1,4.5,54.422727
0.1,4.6,54.380130
0.1,4.7,54.392795
0.1,4.8,54.459085
0.1,4.9,54.577605
0.1,5.0,54.746957
0.1,5.1,54.965742
0.1,5.2,55.232565
0.1,5.3,55.546028
0.1,5.4,55.904733
0.1,5.5,56.307220
0.1,5.6,56.751211
0.1,5.7,57.233851
0.1,5.8,57.752274
0.1,5.9,58.303616
0.1,6.0,58.885010
0.1,6.1,59.493591
0.1,6.2,60.126493
0.1,6.3,60.780850
0.1,6.4,61.453797
0.1,6.5,62.142413
0.1,6.6,62.843646
0.1,6.7,63.554420
0.1,6.8,64.271661
0.1,6.9,64.992296
0.1,7.0,65.713249
0.1,7.1,66.431446
0.1,7.2,67.143814
0.1,7.3,67.847277
0.1,7.4,68.538761
0.1,7.5,69.215192
0.1,7.6,69.873496
0.1,7.7,70.510599
0.1,7.8,71.123425
0.1,7.9,71.708901
0.1,8.0,72.263952
0.2,0.0,54.640311
0.2,0.1,56.372609
0.2,0.2,57.859586
0.2,0.3,59.127074
0.2,0.4,60.200905
0.2,0.5,61.106912
0.2,0.6,61.870928
0.2,0.7,62.518784
0.2,0.8,63.076313
0.2,0.9,63.569347
0.2,1.0,64.023719
0.2,1.1,64.465261
0.2,1.2,64.919805
0.2,1.3,65.413184
0.2,1.4,65.970895
0.2,1.5,66.592793
0.2,1.6,67.235450
0.2,1.7,67.851265
0.2,1.8,68.392639
0.2,1.9,68.812741
0.2,2.0,69.087482
0.2,2.1,69.218757
0.2,2.2,69.209884
0.2,2.3,69.064178
0.2,2.4,68.784955
0.2,2.5,68.375531
0.2,2.6,67.839222
0.2,2.7,67.179344
0.2,2.8,66.401495
0.2,2.9,65.523446
0.2,3.0,64.567008
0.2,3.1,63.553995
0.2,3.2,62.506221
0.2,3.3,61.445499
0.2,3.4,60.393643
0.2,3.5,59.372468
0.2,3.6,58.403786
0.2,3.7,57.509411
0.2,3.8,56.710928
0.2,3.9,56.019980
0.2,4.1,55.434703
0.2,4.2,54.952270
0.2,4.3,54.569850
0.2,4.4,54.284616
0.2,4.5,54.093738
0.2,4.6,53.994303
0.2,4.7,53.981449
0.2,4.8,54.048373
0.2,4.9,54.188186
0.2,5.0,54.393999
0.2,5.1,54.658922
0.2,5.2,54.976068
0.2,5.3,55.338548
0.2,5.4,55.739473
0.2,5.5,56.172213
0.2,5.6,56.633546
0.2,5.7,57.122632
0.2,5.8,57.638684
0.2,5.9,58.180914
0.2,6.0,58.748533
0.2,6.1,59.340753
0.2,6.2,59.956787
0.2,6.3,60.595846
0.2,6.4,61.257139
0.2,6.5,61.939143
0.2,6.6,62.638505
0.2,6.7,63.351591
0.2,6.8,64.074770
0.2,6.9,64.804409
0.2,7.0,65.536875
0.2,7.1,66.268536
0.2,7.2,66.995760
0.2,7.3,67.714913
0.2,7.4,68.422364
0.2,7.5,69.114479
0.2,7.6,69.787627
0.2,7.7,70.438174
0.2,7.8,71.062489
0.2,7.9,71.656939
0.2,8.0,72.217891
0.3,0.0,56.399255
0.3,0.1,57.935312
0.3,0.2,59.214492
0.3,0.3,60.267856
0.3,0.4,61.126465
0.3,0.5,61.821380
0.3,0.6,62.383662
0.3,0.7,62.844371
0.3,0.8,63.234570
0.3,0.9,63.585318
0.3,1.0,63.927677
0.3,1.1,64.292709
0.3,1.2,64.711473
0.3,1.3,65.215032
0.3,1.4,65.833992
0.3,1.5,66.564346
0.3,1.6,67.343650
0.3,1.7,68.103829
0.3,1.8,68.776808
0.3,1.9,69.295701
0.3,2.0,69.628830
0.3,2.1,69.784736
0.3,2.2,69.774163
0.3,2.3,69.607853
0.3,2.4,69.296546
0.3,2.5,68.850986
0.3,2.6,68.281914
0.3,2.7,67.600071
0.3,2.8,66.817004
0.3,2.9,65.948544
0.3,3.0,65.011945
0.3,3.1,64.024464
0.3,3.2,63.003356
0.3,3.3,61.965876
0.3,3.4,60.929279
0.3,3.5,59.910821
0.3,3.6,58.927759
0.3,3.7,57.997346
0.3,3.8,57.136729
0.3,3.9,56.358330
0.3,4.1,55.668147
0.3,4.2,55.071722
0.3,4.3,54.574596
0.3,4.4,54.182309
0.3,4.5,53.900401
0.3,4.6,53.734066
0.3,4.7,53.680508
0.3,4.8,53.728953
0.3,4.9,53.868283
0.3,5.0,54.087380
